Date,Country,CountryCode,Region,Location,EnergySource,EnergySubSector,Borrower,Lender,Amount ($m),Description,BRI Membership,,,,,,,,,,,,,,,,,,,
2000,Sudan,SDN,Africa,"Garri (80 km N of Khartoum), Sudan",Gas/LNG,Power Generation,Government,Ex-Im Bank,149,Garri (El-Jaili) Power Station,1,,,,,,,,,,,,,,,,,,,
2001,Pakistan,PAK,South Asia,"Jinnah Barrage, Mianwali District",Hydropower,Power Generation,Government,Ex-Im Bank,128,Jinnah Hydropower Station (delayed until 2006),1,,,,,,,,,,,,,,,,,,,
2002,Morocco,MAR,Africa,"Ifrane, Chefchaouen, Al-Hoceima",Hydropower,Power Generation,Government,Ex-Im Bank,6.03,"Three Dams (Ifrane, Chefchaouen, Al-Hoceima)",1,,,,,,,,,,,,,,,,,,,
2002,Nigeria,NGA,Africa,"Otomosho, Nigeria",Gas/LNG,Power Generation,Government,Ex-Im Bank,114.8,Omotosho Power Plant I,1,,,,,,,,,,,,,,,,,,,
2002,Nigeria,NGA,Africa,"Papalanto, Orgun State, Nigeria",Gas/LNG,Power Generation,Government,Ex-Im Bank,114.8,Papalanto Gas-Fire Power Station Phase I,1,,,,,,,,,,,,,,,,,,,
2002,Vietnam,VNM,Southeast Asia,"Thai Nguyen Province, Vietnam",Coal,Power Generation,Government,Ex-Im Bank,85.5,Cao Ngan Thermal Power Plant,1,,,,,,,,,,,,,,,,,,,
2003,Myanmar,MMR,Southeast Asia,"Center of Myanmar, Shan State on Myitnge River",Hydropower,Power Generation,Government,Ex-Im Bank,200,Yeywa Power Plant,1,,,,,,,,,,,,,,,,,,,
2003,Republic of Congo,COG,Africa,"Lefini River, Southeast of Congo",Hydropower,Power Generation,Government,Ex-Im Bank,238,Imboulou Dam,1,,,,,,,,,,,,,,,,,,,
2003,Sudan,SDN,Africa,"North Khartoum, Sudan",Oil,Power Generation,Government,Ex-Im Bank,175,Khartoum North Thermal Power Station,1,,,,,,,,,,,,,,,,,,,
2003,Sudan,SDN,Africa,"Merowe Town, Northern Sudan",Hydropower,Multipurpose,Government,Ex-Im Bank,608,Merowe Dam & Power Transmission Co-financed with Various Banks,1,,,,,,,,,,,,,,,,,,,
2004,Cambodia,KHM,Southeast Asia,"Bokor National Park (BNP), Kampot",Hydropower,Power Generation,Sinohydro Kamchay,Ex-Im Bank,201.6,Kamchay Hydroelectric Power Plant,1,,,,,,,,,,,,,,,,,,,
2004,Laos,LAO,Southeast Asia,"Nam Gnong River, Phou Khaokhouay Plateau",Hydropower,Power Generation,Government,Ex-Im Bank,72,Nam Mang-3 Dam,1,,,,,,,,,,,,,,,,,,,
2004,Laos,LAO,Southeast Asia,"Xeset River, Saravan province",Hydropower,Power Generation,Government,Ex-Im Bank,108.4,"Xeset II Hydropower Project (80% as a Credit Loan from China EXIM Bank, 20% financed by EDL)",1,,,,,,,,,,,,,,,,,,,
2004,Pakistan,PAK,South Asia,"Chashma Colony and Kundian town, Mianwali District, Punjab",Nuclear,Power Generation,Government,Ex-Im Bank,350,Chashma Power Station Unit 2,1,,,,,,,,,,,,,,,,,,,
2005,Vietnam,VNM,Southeast Asia,"Tam Hưng Commune, Thủy Nguyên District, Hải Phòng Province",Coal,Power Generation,Government,Ex-Im Bank,277,Hai Phong Thermal Power Plant Phase 1,1,,,,,,,,,,,,,,,,,,,
2006,Equa. Guinea,GNQ,Africa,"Djibloho Fall, Equi. Guinea",Hydropower,Power Generation,Government,Ex-Im Bank,257,Djibloho Dam,1,,,,,,,,,,,,,,,,,,,
2006,Kazakhstan,KAZ,Europe/Central Asia,"Raiymbek Region, Almaty Province",Hydropower,Power Generation,Government,CDB,200,Moinak Hydroelectric Power Plant,1,,,,,,,,,,,,,,,,,,,
2006,Sri Lanka,LKA,South Asia,"Norochcholai, Puttalam",Coal,Power Generation,CEB (Ceylon Electricity Board),Ex-Im Bank,450,Norocholai (Lakvijaya) Power Station Phase 1,1,,,,,,,,,,,,,,,,,,,
2006,Tajikistan,TJK,Europe/Central Asia,Khatlon Province,Unspecified,Transmission and Distribution,Tajik Barqi Tojik,Ex-Im Bank,340,High Voltage Transmission Line,1,,,,,,,,,,,,,,,,,,,
2007,Brazil,BRA,LAC,Cabiúnas Terminal in Rio de Janeiro to Catu in Bahia,Oil,Transmission and Distribution,BNDES,CDB,750,"GASENE Pipeline, Loan Onlent through BNDES",0,,,,,,,,,,,,,,,,,,,
